seller-sku,asin1,item-name,item-description,listing-id,price,quantity,open-date,product-id-type,item-note,item-condition,will-ship-internationally,expedited-shipping,product-id,pending-quantity,fulfillment-channel,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,optional-payment-type-exclusion,scheduled-delivery-sku-set,merchant-shipping-group,standard-price-point,ProductTaxCode
01-VHUV-EU6Z,671230700,"Sideshow [May 15, 1979] William Shawcross",,1011SAYFYE7,5,1,2017-10-11 15:25:15 PDT,1,Good condition. Has some wear and minimal edge tearing on dust jacket. Remainder mark on exterior page edges. Pages clean and unmarked.,3,,,671230700,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
04-1ZJM-XWB7,553138014,"The Formula [May 01, 1983] Shagan, Steve",,0327UZW7PBV,3,1,2018-03-27 15:22:21 PDT,1,"Cover in very good condition, with light creasing from use. Binding tight, pages clean and unmarked. Remainder mark on bottom page edges.",2,,,553138014,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
04-NB2U-QQS4,B000JWL422,"The Renaissance of the 12th Century [Mass Market Paperback] [Jan 01, 1957] Haskins, Charles Homer",,0403UGO7AKD,50,1,2018-04-03 12:02:16 PDT,1,"The World Publishing Company, March 1965. Tenth Printing. Cover in very good condition. Binding tight, pages clean and unmarked.",2,,,B000JWL422,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
06-KM2L-YLKH,375706860,"Snow [Paperback] [Jul 19, 2005] Pamuk, Orhan",,0827SM7TPAV,3,1,2017-08-27 16:03:00 PDT,1,,3,,,375706860,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
06-RJU3-SB9S,440168910,"Paper Money [Feb 01, 1982] Smith, Adam",,0409UWG9QG1,18.5,1,2018-04-09 13:15:39 PDT,1,"Dell Book, 1982. First Dell Printing. Cover in very good condition. Remainder mark on bottom page edges. Binding tight, pages clean and unmarked.",2,,,440168910,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
07-BZ0A-AGEN,394713087,"The Uses of Disorder: Personal Identity & City Life (A Vintage book) [Jun 03, 1988] Sennett, Richard",,0908S399GE1,3,1,2017-09-08 10:26:07 PDT,1,,3,,,394713087,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
08-8TWG-W2LY,931290597,Two Terrorists Meet [Hardcover],,1117S7TZFI7,41.59,1,2017-11-16 16:08:34 PST,1,"Alchemy Books, 1981. First Edition. Very good condition. Dust jacket in very good condition. Binding tight. No notes, underlining, or highlighting on the pages.",2,,,931290597,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0A2-FUI-1XR,933516789,"Rembrandt: The Complete Etchings [Hardcover] [Jan 01, 1962] K.G. Brown",,0827SM7Y7LD,19.99,1,2017-08-27 16:04:36 PDT,1,Dust cover absent. Pages clean and unmarked.,4,,,933516789,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0D-MMIF-TCBD,312106769,"Bruegel [Jan 01, 1978] Bruegel, Pieter",,0908S34VTEV,5,1,2017-09-08 09:32:28 PDT,1,,2,,,312106769,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0F-I8A9-ZTXU,553566067,"Virtual Light [Paperback] [Jul 01, 1994] Gibson, William",,0827SM7TV4V,2.5,1,2017-08-27 16:03:10 PDT,1,,4,,,553566067,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0G-63IL-FS29,345281004,"Blood feud [Jan 01, 1979] Hannibal, Edward",,0828SQ80ESD,5,1,2017-08-28 14:47:13 PDT,1,First Edition.,6,,,345281004,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
0H-835K-LHRF,811708179,"Behind the Headlines: American History's Schemes, Scandals and Escapades [May 01, 1983] Garrison, Webb B.",,0908S3L2EK7,8,1,2017-09-08 11:46:49 PDT,1,,2,,,811708179,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,
